ID,PERSINC,FAMINC,RESID,PERSINC_SCORE,FAMINC_SCORE,UNNES,ENTER,JOBEXP,GENDER,SPORT,FATEDU,ENG,READ,COMP,RELIBIL,SOCMED,VOUL,FRI,NGONUM,EDUCOM,FAMCOM,ECO,CUL,SOC,SOCCUL,OVERALL
1,0.0,30.0,3,1,2,3,3,1,1,3,3,3,2,2,2,2,3,3,2,3,3,2.1666666666666665,2.2857142857142856,2.6666666666666665,2.4761904761904763,2.373015873015873
2,0.0,60.0,2,1,3,2,3,1,1,2,2,3,1,1,3,2,4,3,1,4,2,2.0,1.8571428571428572,2.6666666666666665,2.261904761904762,2.1746031746031744
3,0.0,15.0,4,1,1,2,2,3,1,2,1,2,1,1,3,4,2,4,0,2,3,2.1666666666666665,1.5714285714285714,2.5,2.0357142857142856,2.0793650793650795
4,0.0,17.5,3,1,1,4,2,1,1,2,1,5,4,3,2,2,3,3,1,3,2,2.0,2.5714285714285716,2.3333333333333335,2.4523809523809526,2.301587301587302
5,0.0,14.0,3,1,1,3,2,1,1,2,3,3,1,1,3,2,3,4,1,2,3,1.8333333333333333,2.0,2.5,2.25,2.111111111111111
6,0.0,12.0,3,1,1,4,2,1,1,2,3,4,3,1,3,4,2,2,0,2,1,2.0,2.4285714285714284,1.8333333333333333,2.130952380952381,2.0873015873015874
7,0.0,40.0,2,1,2,2,3,1,1,2,3,5,2,2,5,2,3,4,0,4,3,1.8333333333333333,2.857142857142857,2.6666666666666665,2.761904761904762,2.4523809523809526
8,0.0,25.0,3,1,1,1,3,3,2,4,2,5,2,1,1,2,4,4,0,5,3,2.0,2.4285714285714284,3.0,2.7142857142857144,2.4761904761904763
9,0.0,35.0,3,1,2,3,4,1,1,3,5,2,1,1,3,2,3,3,0,5,3,2.3333333333333335,2.2857142857142856,2.6666666666666665,2.4761904761904763,2.4285714285714284
10,7.5,40.0,3,2,2,3,3,2,1,2,1,2,2,2,3,3,4,3,0,4,2,2.5,1.8571428571428572,2.6666666666666665,2.261904761904762,2.3412698412698414
11,0.0,18.0,3,1,1,4,2,1,1,2,2,3,2,1,3,2,3,3,1,4,3,2.0,2.0,2.6666666666666665,2.333333333333333,2.222222222222222
12,0.0,20.0,2,1,1,3,2,2,2,4,2,2,2,3,4,2,4,4,4,5,3,1.8333333333333333,2.7142857142857144,3.6666666666666665,3.1904761904761907,2.7380952380952377
13,0.0,25.0,2,1,1,3,2,1,1,1,2,5,2,2,5,3,2,4,1,4,3,1.6666666666666667,2.5714285714285716,2.8333333333333335,2.7023809523809526,2.357142857142857
14,0.0,50.0,2,1,3,3,3,1,1,3,3,3,2,1,2,3,4,4,0,5,3,2.1666666666666665,2.142857142857143,3.1666666666666665,2.6547619047619047,2.492063492063492
15,0.0,40.0,1,1,2,3,2,2,2,3,2,3,4,2,4,2,4,3,0,5,2,1.8333333333333333,2.857142857142857,2.6666666666666665,2.761904761904762,2.4523809523809526
16,0.0,14.0,3,1,1,4,2,1,1,3,2,2,2,1,5,3,4,3,0,4,3,2.0,2.2857142857142856,2.8333333333333335,2.5595238095238093,2.373015873015873
17,0.0,70.0,3,1,4,4,4,2,1,3,4,4,2,3,3,3,4,4,4,4,3,3.0,2.857142857142857,3.6666666666666665,3.261904761904762,3.1746031746031744
18,0.0,40.0,3,1,2,4,3,1,1,1,3,3,3,2,4,4,3,4,0,4,3,2.3333333333333335,2.4285714285714284,3.0,2.7142857142857144,2.5873015873015874
19,0.0,100.0,3,1,5,4,3,1,1,1,3,3,1,1,3,2,2,1,0,3,3,2.8333333333333335,1.8571428571428572,1.8333333333333333,1.8452380952380953,2.1746031746031744
20,0.0,50.0,2,1,3,3,4,1,1,3,3,5,2,1,3,3,4,3,2,3,3,2.3333333333333335,2.5714285714285716,3.0,2.7857142857142856,2.634920634920635
21,0.0,15.0,3,1,1,2,3,1,1,3,2,2,3,1,3,3,3,3,1,4,3,1.8333333333333333,2.142857142857143,2.8333333333333335,2.488095238095238,2.26984126984127
22,0.0,35.0,3,1,2,3,3,1,2,2,5,3,2,3,3,2,2,1,0,4,1,2.1666666666666665,2.857142857142857,1.6666666666666667,2.261904761904762,2.2301587301587302
23,0.0,35.0,3,1,2,1,3,2,2,4,2,2,1,3,3,2,1,3,0,4,2,2.0,2.4285714285714284,2.0,2.2142857142857144,2.142857142857143
24,0.0,15.0,3,1,1,4,2,1,1,3,2,3,2,1,5,2,4,2,0,2,3,2.0,2.4285714285714284,2.1666666666666665,2.2976190476190474,2.198412698412698
25,0.0,10.0,3,1,1,1,2,1,1,1,2,4,2,1,4,2,3,4,1,3,2,1.5,2.142857142857143,2.5,2.321428571428571,2.0476190476190474
26,50.0,100.0,3,3,5,2,1,2,2,4,4,4,3,3,3,2,4,3,1,4,3,2.6666666666666665,3.2857142857142856,2.8333333333333335,3.0595238095238093,2.928571428571429
27,0.0,40.0,3,1,2,2,3,1,1,1,2,4,4,2,3,4,3,4,3,4,3,2.0,2.4285714285714284,3.5,2.9642857142857144,2.642857142857143
28,0.0,50.0,3,1,3,4,2,2,1,3,3,2,1,1,5,2,1,1,0,2,1,2.5,2.2857142857142856,1.1666666666666667,1.7261904761904763,1.9841269841269842
29,5.0,100.0,3,2,5,1,4,1,1,4,4,4,1,2,4,3,2,3,0,3,1,2.6666666666666665,2.857142857142857,2.0,2.428571428571429,2.507936507936508
30,0.0,60.0,3,1,3,2,2,1,1,1,4,3,2,2,5,2,4,4,4,3,3,2.0,2.5714285714285716,3.3333333333333335,2.9523809523809526,2.634920634920635
31,0.0,35.0,3,1,2,4,2,2,1,3,3,1,1,1,3,3,2,1,0,2,1,2.3333333333333335,1.8571428571428572,1.5,1.6785714285714286,1.896825396825397
